FrameNum,timeInfo,signal-obj,appsum-obj,avgbkg-obj,stdbkg-obj,nmaskpx-obj,maxpx-obj,xcentroid-obj,ycentroid-obj
6500.00,[12:30:16.9897757],17655.00,66608.00,1323.06,382.95,-37,4592,198.00,144.00
6501.00,[12:30:16.9978764],20202.00,37488.00,1329.73,384.41,13,4496,199.00,143.69
6502.00,[12:30:17.0059656],17583.00,65600.00,1297.75,392.39,-37,3520,199.00,144.00
6503.00,[12:30:17.0140664],15921.00,64224.00,1305.47,400.73,-37,2784,199.00,144.00
6504.00,[12:30:17.0221671],15592.00,63584.00,1297.07,395.64,-37,3360,199.00,144.00
6505.00,[12:30:17.0302678],18274.00,67040.00,1318.01,393.02,-37,4320,199.00,144.00
6506.00,[12:30:17.0383685],17491.00,65856.00,1307.16,407.86,-37,3680,199.00,144.00
6507.00,[12:30:17.0464692],9997.00,58480.00,1310.35,415.10,-37,3680,199.00,144.00
6508.00,[12:30:17.0545699],7762.00,55200.00,1282.10,380.46,-37,3200,199.00,144.00
6509.00,[12:30:17.0626706],10355.00,59552.00,1329.65,400.58,-37,3040,199.00,144.00
6510.00,[12:30:17.0707713],9589.00,58304.00,1316.63,390.79,-37,3008,199.00,144.00
6511.00,[12:30:17.0788720],14097.00,62080.00,1296.85,399.95,-37,3232,199.00,144.00
6512.00,[12:30:17.0869728],8161.00,56384.00,1303.32,381.98,-37,3712,199.00,144.00
6513.00,[12:30:17.0950735],14500.00,63424.00,1322.27,411.11,-37,3360,199.00,144.00
6514.00,[12:30:17.1031742],8695.00,56032.00,1279.37,398.19,-37,3360,199.00,144.00
6515.00,[12:30:17.1112749],15797.00,64960.00,1328.73,403.34,-37,3456,199.00,144.00
6516.00,[12:30:17.1193756],13060.00,61536.00,1310.17,403.69,-37,3232,199.00,144.00
6517.00,[12:30:17.1274763],17522.00,65632.00,1300.26,399.03,-37,3648,199.00,144.00
6518.00,[12:30:17.1355770],13553.00,61984.00,1308.95,403.55,-37,3232,199.00,144.00
6519.00,[12:30:17.1436777],8977.00,56832.00,1293.39,376.86,-37,2624,199.00,144.00
6520.00,[12:30:17.1517784],14003.00,61088.00,1272.57,394.71,-37,3392,199.00,144.00
6521.00,[12:30:17.1598791],18114.00,66400.00,1305.02,400.11,-37,3392,199.00,144.00
6522.00,[12:30:17.1679798],14663.00,63232.00,1312.67,397.51,-37,3776,199.00,144.00
6523.00,[12:30:17.1760804],17537.00,65184.00,1287.77,402.87,-37,3040,199.00,144.00
6524.00,[12:30:17.1841811],16053.00,63728.00,1288.52,390.59,-37,4432,199.00,144.00
6525.00,[12:30:17.1922818],17044.00,64608.00,1285.50,392.62,-37,3584,199.00,144.00
6526.00,[12:30:17.2003825],13326.00,61568.00,1303.85,384.80,-37,3040,199.00,144.00
6527.00,[12:30:17.2084832],17184.00,65216.00,1298.17,402.45,-37,4096,199.00,144.00
6528.00,[12:30:17.2165839],13414.00,60864.00,1282.43,393.82,-37,2880,199.00,144.00
6529.00,[12:30:17.2246846],10700.00,59776.00,1326.37,388.52,-37,3200,199.00,144.00
6530.00,[12:30:17.2327853],11741.00,59968.00,1303.42,411.77,-37,3040,199.00,144.00
6531.00,[12:30:17.2408860],16341.00,33120.00,1290.66,406.93,13,3296,197.08,146.54
6532.00,[12:30:17.2489866],15592.00,28768.00,1317.55,419.58,10,3392,197.30,146.00
6533.00,[12:30:17.2570873],19990.00,68384.00,1307.96,396.74,-37,3328,197.00,146.00
6534.00,[12:30:17.2651880],18391.00,67712.00,1333.00,392.49,-37,3776,197.00,146.00
6535.00,[12:30:17.2732887],17322.00,66144.00,1319.52,410.85,-37,3712,197.00,146.00
6536.00,[12:30:17.2813894],16750.00,64608.00,1293.47,398.40,-37,3712,197.00,146.00
6537.00,[12:30:17.2894901],17103.00,65056.00,1296.03,386.92,-37,3840,197.00,146.00
6538.00,[12:30:17.2975907],22557.00,71872.00,1332.83,425.79,-37,4000,197.00,146.00
6539.00,[12:30:17.3056914],17102.00,65824.00,1316.81,399.84,-37,4320,197.00,146.00
6540.00,[12:30:17.3137921],18956.00,67264.00,1305.63,399.39,-37,3040,197.00,146.00
6541.00,[12:30:17.3218928],21675.00,69888.00,1303.07,426.38,-37,3392,197.00,146.00
6542.00,[12:30:17.3299934],17614.00,32016.00,1309.29,420.60,11,4720,197.91,144.36
6543.00,[12:30:17.3380941],17442.00,66432.00,1324.06,397.48,-37,3648,198.00,144.00
6544.00,[12:30:17.3461948],15783.00,64352.00,1312.67,401.45,-37,3008,198.00,144.00
6545.00,[12:30:17.3542955],14016.00,61120.00,1273.08,397.15,-37,3264,198.00,144.00
6546.00,[12:30:17.3623961],17411.00,68560.00,1382.41,387.72,-37,4784,198.00,144.00
6547.00,[12:30:17.3704968],21657.00,70080.00,1308.73,400.79,-37,3616,198.00,144.00
6548.00,[12:30:17.3785975],21617.00,70192.00,1312.84,397.77,-37,4368,198.00,144.00
6549.00,[12:30:17.3866981],19852.00,67968.00,1300.42,406.21,-37,3872,198.00,144.00
6550.00,[12:30:17.3947988],22036.00,71136.00,1327.02,416.29,-37,3712,198.00,144.00
6551.00,[12:30:17.4028995],12111.00,23808.00,1299.64,411.77,9,3712,197.33,144.11
6552.00,[12:30:17.4110001],18629.00,67232.00,1313.58,380.98,-37,3936,197.00,144.00
6553.00,[12:30:17.4191008],26830.00,49440.00,1329.98,406.88,17,5200,198.06,145.12
6554.00,[12:30:17.4272014],24210.00,43552.00,1289.48,404.91,15,4592,198.40,144.40
6555.00,[12:30:17.4353021],24269.00,45184.00,1307.17,402.03,16,4592,197.88,145.62
6556.00,[12:30:17.4434028],17189.00,31952.00,1342.13,397.33,11,5072,198.09,144.36
6557.00,[12:30:17.4515034],16373.00,64736.00,1307.09,397.35,-37,3520,198.00,144.00
6558.00,[12:30:17.4596041],15882.00,64480.00,1313.45,385.24,-37,4000,198.00,144.00
6559.00,[12:30:17.4677047],17415.00,65664.00,1304.02,414.57,-37,3744,198.00,144.00
6560.00,[12:30:17.4758054],21678.00,70064.00,1307.73,397.20,-37,4464,198.00,144.00
6561.00,[12:30:17.4839060],16505.00,65792.00,1332.09,396.75,-37,3776,198.00,144.00
6562.00,[12:30:17.4920067],16820.00,65216.00,1307.99,409.13,-37,4352,198.00,144.00
6563.00,[12:30:17.5001073],18634.00,67424.00,1318.64,407.70,-37,3904,198.00,144.00
6564.00,[12:30:17.5082080],13788.00,62272.00,1310.37,415.22,-37,2880,198.00,144.00
6565.00,[12:30:17.5163086],18163.00,66528.00,1307.15,406.95,-37,3680,198.00,144.00
6566.00,[12:30:17.5244093],16377.00,64640.00,1304.39,402.38,-37,3680,198.00,144.00
6567.00,[12:30:17.5325099],12786.00,62080.00,1332.28,386.09,-37,2720,198.00,144.00
6568.00,[12:30:17.5406106],14535.00,62656.00,1300.57,380.55,-37,3104,198.00,144.00
6569.00,[12:30:17.5487112],14678.00,62752.00,1299.30,406.66,-37,3296,198.00,144.00
6570.00,[12:30:17.5568119],6723.00,53984.00,1277.33,400.43,-37,3456,198.00,144.00
6571.00,[12:30:17.5649125],12242.00,60928.00,1315.84,394.59,-37,3392,198.00,144.00
6572.00,[12:30:17.5730132],16814.00,65216.00,1308.16,389.86,-37,3776,198.00,144.00
6573.00,[12:30:17.5811138],14736.00,63136.00,1308.10,386.61,-37,4224,198.00,144.00
6574.00,[12:30:17.5892144],14987.00,26960.00,1330.34,385.37,9,4432,199.00,144.00
6575.00,[12:30:17.5973151],14162.00,26208.00,1338.49,409.07,9,4128,199.33,144.11
6576.00,[12:30:17.6054157],13983.00,25920.00,1326.28,400.84,9,3456,198.89,144.22
6577.00,[12:30:17.6135164],19372.00,36288.00,1301.19,405.14,13,4224,198.62,144.38
6578.00,[12:30:17.6216170],15693.00,30112.00,1310.80,410.36,11,4096,198.55,144.36
6579.00,[12:30:17.6297176],10588.00,58272.00,1288.76,403.80,-37,2752,199.00,144.00
6580.00,[12:30:17.6378183],7767.00,55872.00,1300.13,384.09,-37,2944,199.00,144.00
6581.00,[12:30:17.6459189],9888.00,57632.00,1290.38,386.48,-37,3456,199.00,144.00
6582.00,[12:30:17.6540195],14780.00,63008.00,1303.46,388.37,-37,3072,199.00,144.00
6583.00,[12:30:17.6621202],10626.00,58848.00,1303.31,405.54,-37,2784,199.00,144.00
6584.00,[12:30:17.6702208],12321.00,60992.00,1315.43,391.79,-37,2752,199.00,144.00
6585.00,[12:30:17.6783214],15660.00,63776.00,1300.43,402.63,-37,3232,199.00,144.00
6586.00,[12:30:17.6864220],17286.00,65568.00,1304.91,388.31,-37,4000,199.00,144.00
6587.00,[12:30:17.6945227],14810.00,62528.00,1289.67,384.14,-37,3840,199.00,144.00
6588.00,[12:30:17.7026233],19035.00,67456.00,1308.66,410.73,-37,4032,199.00,144.00
6589.00,[12:30:17.7107239],12436.00,60992.00,1312.33,396.12,-37,3968,199.00,144.00
6590.00,[12:30:17.7188245],6292.00,54176.00,1294.15,399.22,-37,2656,199.00,144.00
6591.00,[12:30:17.7269252],3813.00,51872.00,1298.88,405.93,-37,2656,199.00,144.00
6592.00,[12:30:17.7350258],13206.00,60640.00,1282.00,403.94,-37,2912,199.00,144.00
6593.00,[12:30:17.7431264],12770.00,60944.00,1302.00,393.33,-37,4752,199.00,144.00
6594.00,[12:30:17.7512270],18811.00,67792.00,1323.80,415.13,-37,4528,199.00,144.00
6595.00,[12:30:17.7593276],16781.00,29536.00,1275.55,400.41,10,4912,198.20,144.00
6596.00,[12:30:17.7674282],13866.00,62624.00,1317.77,399.37,-37,3392,198.00,144.00
6597.00,[12:30:17.7755289],10177.00,58816.00,1314.56,413.09,-37,2784,198.00,144.00
6598.00,[12:30:17.7836295],14637.00,64224.00,1340.20,414.08,-37,3232,198.00,144.00
6599.00,[12:30:17.7917301],14742.00,61824.00,1272.49,396.60,-37,3200,198.00,144.00
6600.00,[12:30:17.7998307],11206.00,59488.00,1304.93,394.29,-37,3456,198.00,144.00
6601.00,[12:30:17.8079313],10442.00,58592.00,1301.36,407.73,-37,3296,198.00,144.00
6602.00,[12:30:17.8160319],10494.00,60128.00,1341.47,397.14,-37,3360,198.00,144.00
6603.00,[12:30:17.8241325],11905.00,58688.00,1264.42,397.71,-37,3008,198.00,144.00
6604.00,[12:30:17.8322331],12841.00,61312.00,1310.03,397.35,-37,3136,198.00,144.00
6605.00,[12:30:17.8403337],10119.00,57696.00,1285.88,390.76,-37,2784,198.00,144.00
6606.00,[12:30:17.8484343],11092.00,59712.00,1314.06,399.69,-37,2752,198.00,144.00
6607.00,[12:30:17.8565349],18801.00,67200.00,1308.08,405.47,-37,3552,198.00,144.00
6608.00,[12:30:17.8646355],10306.00,59168.00,1320.59,400.35,-37,3008,198.00,144.00
6609.00,[12:30:17.8727361],18485.00,66016.00,1284.62,417.64,-37,4160,198.00,144.00
6610.00,[12:30:17.8808367],10923.00,60288.00,1334.19,405.69,-37,3008,198.00,144.00
6611.00,[12:30:17.8889373],12974.00,61952.00,1323.72,391.27,-37,2848,198.00,144.00
6612.00,[12:30:17.8970379],11162.00,59536.00,1307.40,422.68,-37,3232,198.00,144.00
6613.00,[12:30:17.9051385],12604.00,60224.00,1287.03,408.43,-37,3296,198.00,144.00
6614.00,[12:30:17.9132391],13081.00,60992.00,1294.90,397.74,-37,3584,198.00,144.00
6615.00,[12:30:17.9213397],18415.00,65968.00,1285.22,404.02,-37,4464,198.00,144.00
6616.00,[12:30:17.9294403],19191.00,67520.00,1306.19,404.36,-37,3680,198.00,144.00
6617.00,[12:30:17.9375409],16852.00,66304.00,1336.54,405.16,-37,2688,198.00,144.00
6618.00,[12:30:17.9456415],18634.00,67616.00,1323.83,422.97,-37,3776,198.00,144.00
6619.00,[12:30:17.9537421],16127.00,63040.00,1267.92,400.40,-37,3168,198.00,144.00
6620.00,[12:30:17.9618427],14699.00,63552.00,1320.35,400.59,-37,4064,198.00,144.00
6621.00,[12:30:17.9699432],11057.00,58880.00,1292.52,384.76,-37,2912,198.00,144.00
6622.00,[12:30:17.9780438],16694.00,64544.00,1293.25,405.45,-37,3008,198.00,144.00
6623.00,[12:30:17.9861444],16179.00,64608.00,1308.90,391.99,-37,3360,198.00,144.00
6624.00,[12:30:17.9942450],15154.00,64192.00,1325.35,399.86,-37,2976,198.00,144.00
6625.00,[12:30:18.0023338],12683.00,60608.00,1295.28,392.61,-37,3424,198.00,144.00
6626.00,[12:30:18.0104344],10983.00,58016.00,1271.17,386.14,-37,3264,198.00,144.00
6627.00,[12:30:18.0185349],8456.00,55552.00,1272.87,396.75,-37,2784,198.00,144.00
6628.00,[12:30:18.0266355],13367.00,62688.00,1333.01,383.77,-37,2656,198.00,144.00
6629.00,[12:30:18.0347361],9469.00,57536.00,1299.12,396.40,-37,3936,198.00,144.00
6630.00,[12:30:18.0428367],14133.00,62912.00,1318.35,389.26,-37,3040,198.00,144.00
6631.00,[12:30:18.0509372],9989.00,58432.00,1309.28,403.01,-37,3232,198.00,144.00
6632.00,[12:30:18.0590378],14352.00,62592.00,1303.79,393.50,-37,3360,198.00,144.00
6633.00,[12:30:18.0671384],12906.00,62144.00,1330.75,398.20,-37,2944,198.00,144.00
6634.00,[12:30:18.0752390],15032.00,63680.00,1314.80,406.72,-37,3072,198.00,144.00
6635.00,[12:30:18.0833395],18127.00,66112.00,1296.88,402.38,-37,3232,198.00,144.00
6636.00,[12:30:18.0914401],15315.00,63520.00,1302.83,386.99,-37,2944,198.00,144.00
6637.00,[12:30:18.0995407],17527.00,64896.00,1280.23,381.61,-37,3392,198.00,144.00
6638.00,[12:30:18.1076412],13837.00,61760.00,1295.22,397.68,-37,3776,198.00,144.00
6639.00,[12:30:18.1157418],14129.00,27312.00,1318.35,409.97,10,4752,197.50,145.00
6640.00,[12:30:18.1238424],21813.00,40112.00,1307.10,392.21,14,5104,197.50,145.50
6641.00,[12:30:18.1319429],27051.00,51824.00,1303.83,409.89,19,4944,197.84,145.11
6642.00,[12:30:18.1400435],13966.00,26688.00,1272.22,392.41,10,4032,197.60,145.20
6643.00,[12:30:18.1481440],17107.00,66144.00,1325.31,399.47,-37,3648,197.00,145.00
6644.00,[12:30:18.1562446],18644.00,65632.00,1269.96,401.01,-37,3296,197.00,145.00
6645.00,[12:30:18.1643452],15333.00,63360.00,1298.03,391.10,-37,3392,197.00,145.00
6646.00,[12:30:18.1724457],18925.00,67392.00,1309.91,377.08,-37,3488,197.00,145.00
6647.00,[12:30:18.1805463],18134.00,65056.00,1268.18,395.05,-37,4032,197.00,145.00
6648.00,[12:30:18.1886468],12057.00,23904.00,1316.34,394.25,9,4128,198.00,145.00
6649.00,[12:30:18.1967474],21791.00,70144.00,1306.85,391.05,-37,3776,198.00,145.00
6650.00,[12:30:18.2048479],19382.00,37536.00,1296.72,396.96,14,3904,197.64,146.07
6651.00,[12:30:18.2129485],12746.00,24384.00,1293.06,412.91,9,3680,197.44,144.67
6652.00,[12:30:18.2210490],22774.00,69856.00,1272.49,393.46,-37,3680,197.00,145.00
6653.00,[12:30:18.2291496],14044.00,61120.00,1272.33,395.20,-37,3840,197.00,145.00
6654.00,[12:30:18.2372501],15342.00,63168.00,1292.60,404.82,-37,3008,197.00,145.00
6655.00,[12:30:18.2453507],13256.00,61280.00,1297.93,388.39,-37,3360,197.00,145.00
6656.00,[12:30:18.2534512],10947.00,60544.00,1340.47,384.09,-37,2624,197.00,145.00
6657.00,[12:30:18.2615518],17634.00,66304.00,1315.40,395.70,-37,4000,197.00,145.00
6658.00,[12:30:18.2696523],17537.00,66560.00,1324.95,410.42,-37,3680,197.00,145.00
6659.00,[12:30:18.2777529],14391.00,63584.00,1329.53,385.79,-37,2944,197.00,145.00
6660.00,[12:30:18.2858534],12578.00,24320.00,1304.68,387.77,9,3648,198.67,143.89
6661.00,[12:30:18.2939540],16764.00,64976.00,1303.02,390.99,-37,4880,199.00,144.00
6662.00,[12:30:18.3020545],14709.00,63520.00,1319.22,374.36,-37,4288,199.00,144.00
6663.00,[12:30:18.3101550],13849.00,62400.00,1312.20,397.85,-37,3776,199.00,144.00
6664.00,[12:30:18.3182556],16331.00,63328.00,1270.18,386.16,-37,5072,199.00,144.00
6665.00,[12:30:18.3263561],14288.00,61760.00,1283.04,396.87,-37,3264,199.00,144.00
6666.00,[12:30:18.3344567],11338.00,59584.00,1303.93,382.76,-37,3136,199.00,144.00
6667.00,[12:30:18.3425572],15258.00,62624.00,1280.17,398.15,-37,3328,199.00,144.00
6668.00,[12:30:18.3506577],16037.00,64480.00,1309.27,395.29,-37,3424,199.00,144.00
6669.00,[12:30:18.3587583],6352.00,54624.00,1304.64,407.17,-37,2880,199.00,144.00
6670.00,[12:30:18.3668588],17952.00,66304.00,1306.81,421.18,-37,3328,199.00,144.00
6671.00,[12:30:18.3749593],9318.00,57184.00,1293.69,395.08,-37,2688,199.00,144.00
6672.00,[12:30:18.3830598],9578.00,57056.00,1283.20,409.95,-37,2752,199.00,144.00
6673.00,[12:30:18.3911604],15387.00,63488.00,1300.02,397.85,-37,4224,199.00,144.00
6674.00,[12:30:18.3992609],17297.00,65792.00,1310.67,405.47,-37,3168,199.00,144.00
6675.00,[12:30:18.4073614],16040.00,29280.00,1324.00,389.91,10,4096,197.80,144.30
6676.00,[12:30:18.4154620],16301.00,64448.00,1301.27,395.49,-37,4064,198.00,144.00
6677.00,[12:30:18.4235625],13617.00,61856.00,1303.76,385.99,-37,3456,198.00,144.00
6678.00,[12:30:18.4316630],15229.00,63680.00,1309.48,398.46,-37,3104,198.00,144.00
6679.00,[12:30:18.4397635],9430.00,57152.00,1289.78,406.85,-37,3136,198.00,144.00
6680.00,[12:30:18.4478641],12701.00,62016.00,1332.84,403.25,-37,2784,198.00,144.00
6681.00,[12:30:18.4559646],15162.00,63904.00,1317.36,393.20,-37,2816,198.00,144.00
6682.00,[12:30:18.4640651],14500.00,62656.00,1301.50,390.92,-37,3040,198.00,144.00
6683.00,[12:30:18.4721656],15487.00,63936.00,1309.43,388.77,-37,3072,198.00,144.00
6684.00,[12:30:18.4802661],17384.00,66208.00,1319.57,396.96,-37,3936,198.00,144.00
6685.00,[12:30:18.4883666],8163.00,56928.00,1317.96,376.91,-37,2528,198.00,144.00
6686.00,[12:30:18.4964672],4693.00,54080.00,1334.79,406.48,-37,2784,198.00,144.00
6687.00,[12:30:18.5045677],13261.00,61600.00,1306.47,403.32,-37,3616,198.00,144.00
6688.00,[12:30:18.5126682],14577.00,63264.00,1315.86,399.69,-37,3648,198.00,144.00
6689.00,[12:30:18.5207687],12551.00,60640.00,1299.71,413.38,-37,2752,198.00,144.00
6690.00,[12:30:18.5288692],16345.00,63232.00,1267.21,412.80,-37,2912,198.00,144.00
6691.00,[12:30:18.5369697],11113.00,59216.00,1300.08,389.30,-37,3616,198.00,144.00
6692.00,[12:30:18.5450702],13833.00,63328.00,1337.69,394.88,-37,3520,198.00,144.00
6693.00,[12:30:18.5531707],14013.00,62288.00,1304.73,404.65,-37,4784,198.00,144.00
6694.00,[12:30:18.5612712],13985.00,61664.00,1288.62,401.17,-37,3712,198.00,144.00
6695.00,[12:30:18.5693718],11887.00,60512.00,1314.19,397.23,-37,4064,198.00,144.00
6696.00,[12:30:18.5774723],14605.00,62864.00,1304.30,404.13,-37,4528,198.00,144.00
6697.00,[12:30:18.5855728],16118.00,64064.00,1295.83,399.62,-37,3104,198.00,144.00
6698.00,[12:30:18.5936733],18740.00,65984.00,1276.87,418.12,-37,3424,198.00,144.00
6699.00,[12:30:18.6017738],17104.00,65088.00,1296.85,392.95,-37,4288,198.00,144.00
6700.00,[12:30:18.6098743],7517.00,56576.00,1325.92,393.12,-37,2912,198.00,144.00
6701.00,[12:30:18.6179748],16281.00,63872.00,1286.23,391.16,-37,3264,198.00,144.00
6702.00,[12:30:18.6260753],18100.00,66624.00,1311.47,406.01,-37,4160,198.00,144.00
6703.00,[12:30:18.6341758],17065.00,64192.00,1273.70,403.06,-37,4352,198.00,144.00
6704.00,[12:30:18.6422763],16034.00,64960.00,1322.33,405.06,-37,3968,198.00,144.00
6705.00,[12:30:18.6503768],13147.00,61440.00,1305.23,404.45,-37,3296,198.00,144.00
6706.00,[12:30:18.6584773],10292.00,58304.00,1297.62,394.23,-37,3584,198.00,144.00
6707.00,[12:30:18.6665777],8940.00,56896.00,1296.12,408.79,-37,2656,198.00,144.00
6708.00,[12:30:18.6746782],16344.00,64096.00,1290.59,398.49,-37,3392,198.00,144.00
6709.00,[12:30:18.6827787],19000.00,65440.00,1255.12,388.63,-37,3968,198.00,144.00
6710.00,[12:30:18.6908792],14240.00,62752.00,1311.13,386.35,-37,3648,198.00,144.00
6711.00,[12:30:18.6989797],13245.00,60672.00,1281.80,395.75,-37,3648,198.00,144.00
6712.00,[12:30:18.7070802],7482.00,55488.00,1297.45,392.32,-37,3104,198.00,144.00
6713.00,[12:30:18.7151807],17455.00,67520.00,1353.10,401.19,-37,3456,198.00,144.00
6714.00,[12:30:18.7232812],19382.00,67200.00,1292.38,406.85,-37,3200,198.00,144.00
6715.00,[12:30:18.7313817],12263.00,60416.00,1301.43,403.66,-37,2784,198.00,144.00
6716.00,[12:30:18.7394821],13445.00,62688.00,1330.88,405.35,-37,4064,198.00,144.00
6717.00,[12:30:18.7475826],10150.00,58880.00,1317.03,392.40,-37,3168,198.00,144.00
6718.00,[12:30:18.7556831],8636.00,57120.00,1310.37,397.98,-37,2912,198.00,144.00
6719.00,[12:30:18.7637836],8390.00,56736.00,1306.64,398.86,-37,2528,198.00,144.00
6720.00,[12:30:18.7718841],13414.00,61216.00,1291.95,390.78,-37,3200,198.00,144.00
6721.00,[12:30:18.7799845],15749.00,64000.00,1304.09,397.50,-37,3936,198.00,144.00
6722.00,[12:30:18.7880850],15783.00,30544.00,1341.94,398.78,11,4368,198.45,142.36
6723.00,[12:30:18.7961855],17478.00,66624.00,1328.27,387.48,-37,3936,198.00,142.00
6724.00,[12:30:18.8042860],15631.00,64096.00,1309.86,396.86,-37,3904,198.00,142.00
6725.00,[12:30:18.8123864],7330.00,56000.00,1315.42,395.69,-37,3776,198.00,142.00
6726.00,[12:30:18.8204869],11101.00,59104.00,1297.37,405.20,-37,4128,198.00,142.00
6727.00,[12:30:18.8285874],8832.00,58176.00,1333.63,406.89,-37,3008,198.00,142.00
6728.00,[12:30:18.8366878],12351.00,61984.00,1341.43,400.05,-37,3808,198.00,142.00
6729.00,[12:30:18.8447883],15142.00,28336.00,1319.42,402.03,10,4784,198.20,142.50
6730.00,[12:30:18.8528888],13402.00,62592.00,1329.45,407.61,-37,3456,198.00,143.00
6731.00,[12:30:18.8609892],12776.00,61184.00,1308.33,385.95,-37,3104,198.00,143.00
6732.00,[12:30:18.8690897],8724.00,56576.00,1293.29,406.74,-37,2912,198.00,143.00
6733.00,[12:30:18.8771902],11261.00,59616.00,1306.89,404.07,-37,3776,198.00,143.00
6734.00,[12:30:18.8852906],12492.00,59936.00,1282.27,407.22,-37,3360,198.00,143.00
6735.00,[12:30:18.8933911],13007.00,24720.00,1301.40,403.34,9,5040,199.11,143.33
6736.00,[12:30:18.9014916],15117.00,28240.00,1312.33,393.92,10,4496,200.00,142.50
6737.00,[12:30:18.9095920],20352.00,69216.00,1320.65,377.28,-37,3936,200.00,142.00
6738.00,[12:30:18.9176925],14543.00,61312.00,1264.03,399.69,-37,3680,200.00,142.00
6739.00,[12:30:18.9257929],13038.00,61856.00,1319.41,394.90,-37,3488,200.00,142.00
6740.00,[12:30:18.9338934],12998.00,61280.00,1304.93,398.84,-37,3776,200.00,142.00
6741.00,[12:30:18.9419938],7766.00,56000.00,1303.61,387.24,-37,2816,200.00,142.00
6742.00,[12:30:18.9500943],5131.00,54880.00,1344.57,385.13,-37,2720,200.00,142.00
6743.00,[12:30:18.9581947],6445.00,54720.00,1304.74,399.33,-37,2944,200.00,142.00
6744.00,[12:30:18.9662952],10512.00,59296.00,1318.50,407.64,-37,4000,200.00,142.00
6745.00,[12:30:18.9743956],15594.00,64128.00,1311.73,391.51,-37,3424,200.00,142.00
6746.00,[12:30:18.9824961],14127.00,25872.00,1305.00,398.63,9,4720,199.22,142.44
6747.00,[12:30:18.9905965],14785.00,64320.00,1338.79,403.30,-37,3840,199.00,142.00
6748.00,[12:30:18.9986970],12043.00,61472.00,1335.92,384.24,-37,3168,199.00,142.00
6749.00,[12:30:19.0068025],13081.00,61568.00,1310.45,390.41,-37,3200,199.00,142.00
6750.00,[12:30:19.0149030],7898.00,56768.00,1320.81,402.39,-37,2784,199.00,142.00
6751.00,[12:30:19.0230034],10162.00,60032.00,1347.83,413.82,-37,3872,199.00,142.00
6752.00,[12:30:19.0311039],18500.00,32992.00,1317.43,415.98,11,4784,199.36,142.91
6753.00,[12:30:19.0392043],14439.00,26208.00,1307.72,400.02,9,4944,199.67,142.89
6754.00,[12:30:19.0473048],17637.00,66304.00,1315.33,407.70,-37,3008,200.00,143.00
6755.00,[12:30:19.0554052],14879.00,62560.00,1288.67,406.95,-37,3392,200.00,143.00
6756.00,[12:30:19.0635057],15420.00,63584.00,1301.72,389.26,-37,3552,200.00,143.00
6757.00,[12:30:19.0716061],13851.00,61408.00,1285.32,395.68,-37,3360,200.00,143.00
6758.00,[12:30:19.0797066],10903.00,58880.00,1296.67,396.24,-37,3008,200.00,143.00
6759.00,[12:30:19.0878070],12327.00,60512.00,1302.30,389.65,-37,3200,200.00,143.00
6760.00,[12:30:19.0959075],9345.00,57728.00,1307.66,403.35,-37,4160,200.00,143.00
6761.00,[12:30:19.1040079],11261.00,59712.00,1309.49,392.90,-37,3552,200.00,143.00
6762.00,[12:30:19.1121084],18076.00,66128.00,1298.71,396.10,-37,4912,200.00,143.00
6763.00,[12:30:19.1202088],11343.00,59312.00,1296.45,375.43,-37,4720,200.00,143.00
6764.00,[12:30:19.1283093],12308.00,24384.00,1341.76,405.14,9,4352,198.11,148.67
6765.00,[12:30:19.1364098],15308.00,28832.00,1352.36,416.07,10,5136,198.00,144.20
6766.00,[12:30:19.1445102],20448.00,38288.00,1274.28,386.05,14,5296,198.50,144.29
6767.00,[12:30:19.1526107],15069.00,28144.00,1307.49,408.43,10,4624,198.50,144.00
6768.00,[12:30:19.1607112],15898.00,64352.00,1309.56,398.87,-37,4320,198.00,144.00
6769.00,[12:30:19.1688116],9498.00,57440.00,1295.72,390.12,-37,2848,198.00,144.00
6770.00,[12:30:19.1769121],17605.00,66016.00,1308.40,378.72,-37,4288,198.00,144.00
6771.00,[12:30:19.1850126],18297.00,64672.00,1253.37,401.36,-37,3744,198.00,144.00
6772.00,[12:30:19.1931130],20169.00,69216.00,1325.60,414.94,-37,4288,198.00,144.00
6773.00,[12:30:19.2012135],9021.00,57312.00,1305.16,378.18,-37,4256,198.00,144.00
6774.00,[12:30:19.2093140],5211.00,54144.00,1322.52,386.37,-37,2720,198.00,144.00
6775.00,[12:30:19.2174145],11070.00,60128.00,1325.89,411.34,-37,3008,198.00,144.00
6776.00,[12:30:19.2255149],13687.00,62112.00,1308.79,390.82,-37,3584,198.00,144.00
6777.00,[12:30:19.2336154],14014.00,62912.00,1321.57,402.61,-37,3168,198.00,144.00
6778.00,[12:30:19.2417159],16548.00,64720.00,1301.96,385.93,-37,5168,198.00,144.00
6779.00,[12:30:19.2498164],12783.00,60896.00,1300.34,410.17,-37,3296,198.00,144.00
6780.00,[12:30:19.2579168],15043.00,63712.00,1315.38,417.84,-37,3744,198.00,144.00
6781.00,[12:30:19.2660173],18578.00,67776.00,1329.69,404.22,-37,3424,198.00,144.00
6782.00,[12:30:19.2741178],15356.00,64512.00,1328.53,418.55,-37,2848,198.00,144.00
6783.00,[12:30:19.2822183],13918.00,63104.00,1329.35,407.85,-37,2784,198.00,144.00
